Season,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,logORB,logDRB,logTRB,logMP,logPF,logPTS,logFGA,logFTA,logTOV,logEFG,logFGpct,logFTpct
1,21,Ömer Aşık\asikom01,C,30,NOP,31,19,15.5483871,31,2.096774194,0.477,0,0,,31,65,0.477,0.477,23,1.258064516,0.59,1.548387097,3.709677419,5.258064516,15,5,10,0.451612903,1.64516129,2.741935484,0.437213806,1.310944924,1.659762996,2.74395691,0.497838428,1.008664052,0.740400065,0.229574442,-0.794929875,-0.740238788,-0.740238788,-0.527632742
1,22,D.J. Augustin\augusdj01,PG,29,ORL,78,20,19.71794872,195,6.628205128,0.377,95,274,0.347,100,243,0.412,0.469,131,2.064102564,0.814,0.192307692,1.307692308,1.5,209,31,1,1.153846154,1.294871795,7.897435897,-1.648658626,0.268263987,0.405465108,2.981529323,0.25841169,2.066538137,1.891334048,0.724695538,0.143100844,-0.757152511,-0.975510092,-0.205794913
1,23,Luke Babbitt\babbilu01,SF,27,MIA,68,55,15.66176471,113,4.132352941,0.402,87,210,0.414,26,71,0.366,0.557,11,0.220588235,0.733,0.176470588,1.897058824,2.073529412,36,20,11,0.367647059,1.735294118,4.764705882,-1.734601055,0.640304699,0.729252185,2.751222373,0.551176919,1.561235811,1.418846964,-1.511457504,-1.00063188,-0.585190039,-0.91130319,-0.310609577
1,24,Ron Baker\bakerro01,SG,23,NYK,52,13,16.48076923,82,4.173076923,0.378,23,86,0.267,59,131,0.45,0.431,28,0.826923077,0.651,0.230769231,1.653846154,1.884615385,107,34,8,1.076923077,1.423076923,4.134615385,-1.466337069,0.503103578,0.63372376,2.8021942,0.352821375,1.41939431,1.428653635,-0.190043603,0.074107972,-0.841647189,-0.972861083,-0.429245637
1,25,Wade Baldwin\baldwwa01,PG,20,MEM,33,1,12.27272727,36,3.484848485,0.313,3,22,0.136,33,93,0.355,0.326,31,1.121212121,0.838,0.333333333,1.060606061,1.393939394,61,18,7,1.181818182,1.212121212,3.212121212,-1.098612289,0.0588405,0.332133835,2.507379506,0.192371893,1.166931533,1.248424567,0.114410351,0.167054085,-1.120857898,-1.161552088,-0.176737179
1,26,Leandro Barbosa\barbole01,SG,34,PHO,67,0,14.37313433,172,5.850746269,0.439,35,98,0.357,137,294,0.466,0.483,40,0.671641791,0.889,0.223880597,1.328358209,1.552238806,81,31,8,0.71641791,1.223880597,6.253731343,-1.496642418,0.28394375,0.43969828,2.665360792,0.202026628,1.833178301,1.76656922,-0.39803013,-0.333491608,-0.727738625,-0.823255866,-0.117658043
1,27,J.J. Barea\bareajo01,PG,32,DAL,35,6,22.02857143,142,9.8,0.414,53,148,0.358,89,195,0.456,0.491,44,1.457142857,0.863,0.257142857,2.142857143,2.4,193,14,1,1.8,0.857142857,10.88571429,-1.358123484,0.762140052,0.875468737,3.092340312,-0.15415068,2.387451314,2.282382386,0.376477571,0.587786665,-0.711311151,-0.881889305,-0.147340588
1,28,Harrison Barnes\barneha02,PF,24,DAL,79,79,35.48101266,599,16.20253165,0.468,78,222,0.351,521,1058,0.492,0.498,242,3.556962025,0.861,1.17721519,3.810126582,4.987341772,116,65,15,1.291139241,1.620253165,19.21518987,0.163151641,1.337662412,1.606903057,3.568997699,0.482582411,2.955701105,2.785167504,1.268906817,0.255524961,-0.697155202,-0.759286983,-0.149660775
1,29,Matt Barnes\barnema02,SF,36,TOT,74,18,24.01351351,185,6.391891892,0.391,87,263,0.331,98,210,0.467,0.483,70,1.202702703,0.787,0.945945946,4.243243243,5.189189189,195,48,26,1.445945946,2.5,7.121621622,-0.055569851,1.445327893,1.646577459,3.178616735,0.916290732,1.963135455,1.855030295,0.184571277,0.368763741,-0.727738625,-0.939047719,-0.239527031
1,30,Will Barton\bartowi01,SG,26,DEN,60,19,28.41666667,295,11.1,0.443,87,235,0.37,208,431,0.483,0.508,143,3.166666667,0.753,0.966666667,3.35,4.316666667,206,48,28,1.616666667,1.833333333,13.66666667,-0.033901552,1.208960346,1.462483499,3.346975827,0.606135804,2.614959778,2.406945108,1.15267951,0.480366416,-0.677273831,-0.814185509,-0.283690051
